para,p_index,mean,se_mean,sd,mode,2.5%,25%,50%,75%,97.5%,n_eff,Rhat
alpha,1,0.724,7e-4,0.0765,0.7381,0.5718,0.6733,0.725,0.775,0.8705,10719.8743,0.9996
alpha,2,0.1765,4e-4,0.0552,0.1655,0.0811,0.1372,0.1723,0.2108,0.2991,16524.9958,0.9997
alpha,3,0.0717,2e-4,0.0224,0.0652,0.0354,0.0556,0.0691,0.0853,0.1223,13148.3932,1.0002
alpha,4,0.8916,7e-4,0.0699,0.9416,0.7345,0.8467,0.9021,0.9471,0.9923,11344.4191,0.9996
alpha,5,0.7249,0.0015,0.169,0.821,0.3443,0.6156,0.7418,0.8557,0.982,12536.2395,0.9999
alpha,6,0.9052,6e-4,0.0596,0.9315,0.7732,0.8669,0.9126,0.9519,0.9938,9635.6959,0.9997
alpha,7,0.9402,4e-4,0.0489,0.9843,0.8197,0.9149,0.9526,0.9779,0.9978,14750.0955,1
alpha,8,0.9333,5e-4,0.0508,0.9834,0.8075,0.9049,0.943,0.9735,0.9973,12321.4788,0.9997
alpha,9,0.1909,3e-4,0.0443,0.192,0.11,0.1599,0.1897,0.2194,0.2827,19551.878,0.9997
alpha,10,0.6364,8e-4,0.0885,0.6354,0.4597,0.5768,0.6374,0.6968,0.8053,13468.2328,1.0002
alpha,11,0.5759,8e-4,0.0867,0.594,0.3986,0.5176,0.5795,0.6369,0.7336,12859.7938,0.9997
alpha,12,0.2003,0.0034,0.2215,0.0352,0.0064,0.0325,0.0814,0.3429,0.7418,4143.2569,1.0003
alpha,13,0.562,0.003,0.2846,0.8991,0.0441,0.3243,0.5963,0.8101,0.9808,9059.9713,0.9999
alpha,14,0.1163,3e-4,0.0303,0.1127,0.063,0.0948,0.1143,0.1361,0.1797,11916.7547,0.9998
alpha,15,0.3554,7e-4,0.0884,0.3397,0.1978,0.293,0.3505,0.4126,0.5384,15051.4814,0.9997
alpha,16,0.2788,4e-4,0.0446,0.2699,0.2007,0.2475,0.2753,0.3069,0.3778,13223.4436,0.9996
alpha,17,0.3786,8e-4,0.0985,0.3587,0.199,0.31,0.3734,0.4436,0.5797,15181.3621,0.9996
alpha,18,0.7219,0.001,0.0957,0.7284,0.5305,0.6583,0.7249,0.7868,0.9034,9926.4942,0.9996
alpha,19,0.5008,7e-4,0.0872,0.484,0.3416,0.4386,0.4973,0.5601,0.6768,13575.5015,0.9999
alpha,20,0.9629,3e-4,0.0308,0.9884,0.8855,0.9476,0.9708,0.9861,0.9986,11684.5877,0.9997
alpha,21,0.4397,6e-4,0.0754,0.4326,0.3067,0.3862,0.4357,0.4877,0.6005,14165.1423,0.9996
alpha,22,0.8896,6e-4,0.0563,0.9025,0.7679,0.8536,0.8951,0.9307,0.9856,8395.3058,0.9998
alpha,23,0.5495,8e-4,0.0859,0.5341,0.3862,0.4897,0.5473,0.6088,0.7209,13097.1494,0.9997
alpha,24,0.6477,7e-4,0.0801,0.6448,0.4912,0.5928,0.6489,0.7041,0.7967,14328.5306,0.9998
alpha,25,0.7373,6e-4,0.0675,0.7388,0.5969,0.6928,0.74,0.7856,0.8595,11177.7559,0.9997
alpha,26,0.2407,4e-4,0.049,0.2297,0.1495,0.2071,0.239,0.2725,0.3403,17228.7835,0.9999
alpha,27,0.2745,8e-4,0.0793,0.2531,0.1434,0.2182,0.2667,0.3223,0.453,10986.7854,0.9998
alpha,28,0.5181,7e-4,0.0851,0.4987,0.3663,0.4581,0.5133,0.5753,0.6954,13910.9226,0.9998
alpha,29,0.0821,4e-4,0.0322,0.0717,0.0328,0.0606,0.0778,0.0997,0.1523,6423.8287,0.9999
alpha,30,0.891,5e-4,0.0551,0.9097,0.7656,0.8591,0.8991,0.9306,0.977,10699.0346,1
alpha,31,0.8145,0.0011,0.117,0.8872,0.554,0.7398,0.8267,0.9063,0.9889,11231.2492,1
alpha,32,0.2583,8e-4,0.1017,0.2428,0.0896,0.1828,0.2505,0.3225,0.4782,14984.6827,0.9996
alpha,33,0.2136,0.001,0.0938,0.1856,0.0635,0.1478,0.2014,0.2671,0.4311,9062.0236,1.0001
alpha,34,0.2986,8e-4,0.0847,0.281,0.1501,0.2389,0.2923,0.3503,0.4814,11226.0888,0.9999
alpha,35,0.313,5e-4,0.0497,0.2998,0.2186,0.2785,0.3112,0.3456,0.4146,12083.4844,0.9999
alpha,36,0.5573,0.0023,0.1898,0.5313,0.2001,0.4223,0.5513,0.692,0.9265,6837.4646,1.0003
alpha,37,0.3379,6e-4,0.0706,0.3332,0.1916,0.2922,0.34,0.3856,0.4705,13365.0645,0.9997
alpha,38,0.6789,7e-4,0.078,0.6652,0.5274,0.626,0.6791,0.7322,0.8296,10975.6804,0.9996
alpha,39,0.8634,6e-4,0.0603,0.8831,0.73740000000000006,0.8233,0.8678,0.9068,0.9697,9085.9286,0.9996
alpha,40,0.2162,7e-4,0.0838,0.1816,0.0813,0.1538,0.2067,0.2695,0.4034,14731.4091,0.9999
alpha,41,0.6523,7e-4,0.0673,0.6634,0.5113,0.608,0.6554,0.6999,0.7754,10171.4781,0.9997
alpha,42,0.2086,0.0022,0.19,0.0889,0.0035,0.074,0.1568,0.2815,0.7489,7318.416,1.0004
alpha,43,0.82,0.001,0.0994,0.8267,0.6065,0.7538,0.8274,0.8961,0.9804,9048.7931,0.9999
alpha,44,0.3281,0.0028,0.2732,0.0506,0.0015,0.099,0.2559,0.5145,0.9278,9600.8874,0.9999
alpha,45,0.7007,8e-4,0.0966,0.7213,0.5014,0.6392,0.7048,0.7667,0.8824,14950.554,0.9997
alpha,46,0.3003,7e-4,0.0704,0.3115,0.1576,0.2527,0.3036,0.3504,0.429,9946.424,0.9997
alpha,47,0.0907,2e-4,0.0269,0.0917,0.0427,0.0716,0.0893,0.1079,0.1483,11874.8955,0.9997
alpha,48,0.3895,4e-4,0.0474,0.3825,0.3014,0.3566,0.3875,0.4207,0.4856,16555.9902,0.9997
alpha,49,0.8091,7e-4,0.0713,0.8275,0.653,0.7642,0.815,0.8605,0.9301,11113.4021,1.0001
alpha,50,0.6457,6e-4,0.0724,0.6375,0.505,0.5972,0.6449,0.6949,0.7886,15482.1572,0.9997
alpha,51,0.0892,4e-4,0.0401,0.0649,0.0343,0.0608,0.0816,0.109,0.1855,9946.8185,1
alpha,52,0.1823,8e-4,0.0858,0.142,0.0634,0.12,0.1643,0.2258,0.3946,12272.4129,0.9998
alpha,53,0.6318,7e-4,0.0782,0.6305,0.4776,0.5797,0.6315,0.6852,0.7837,11391.0352,0.9998
alpha,54,0.8864,6e-4,0.06,0.9029,0.7511,0.8504,0.893,0.9297,0.984,10557.4445,0.9997
alpha,55,0.0341,1e-4,0.014,0.0282,0.0149,0.0242,0.0314,0.0411,0.0674,9323.7657,1.0002
alpha,56,0.9164,5e-4,0.0493,0.934,0.8061,0.8853,0.9226,0.9541,0.9931,8063.1041,1.0001
alpha,57,0.318,8e-4,0.0906,0.2916,0.167,0.2524,0.3089,0.3741,0.5225,12521.3781,0.9999
alpha,58,0.3085,0.0014,0.124,0.2456,0.1195,0.217,0.2901,0.3805,0.6,7982.7174,1.0002
alpha,59,0.8509,6e-4,0.0594,0.8633,0.7202,0.8135,0.8558,0.8931,0.9542,10424.8974,0.9999
alpha,60,0.4081,0.0038,0.3132,0.0251,5e-4,0.1073,0.3852,0.6737,0.9664,6948.5372,0.9997
alpha,61,0.8143,6e-4,0.0613,0.8328,0.6819,0.7751,0.8189,0.8575,0.9226,10837.1743,0.9998
alpha,62,0.9525,3e-4,0.0374,0.987,0.8615,0.9321,0.9611,0.9814,0.998,11437.1157,0.9999
alpha,63,0.5845,6e-4,0.0694,0.5778,0.4476,0.5383,0.583,0.6313,0.7219,13901.6288,0.9997
alpha,64,0.3303,0.0012,0.1153,0.3089,0.1359,0.2462,0.3206,0.4019,0.5862,9284.8403,0.9998
alpha,65,0.5498,8e-4,0.0914,0.5636,0.3672,0.4889,0.553,0.61240000000000006,0.7239,12853.1454,0.9999
alpha,66,0.3875,0.0021,0.2021,0.3725,0.0489,0.2345,0.3736,0.5187,0.8269,9480.3422,0.9997
alpha,67,0.499,0.0017,0.1586,0.4999,0.1964,0.391,0.4956,0.6006,0.8331,8558.8894,0.9999
alpha,68,0.4502,7e-4,0.078,0.4418,0.3082,0.3962,0.4464,0.4992,0.6151,12010.1626,0.9998
alpha,69,0.7585,0.0014,0.1576,0.8393,0.4038,0.6593,0.7803,0.8821,0.9866,11943.1648,0.9998
alpha,70,0.67,0.0036,0.2956,0.9418,0.0677,0.4419,0.7761,0.9221,0.9939,6753.9397,1.0001
alpha,71,0.1676,7e-4,0.0745,0.1223,0.0607,0.1126,0.1534,0.2089,0.3463,12271.6522,0.9999
alpha,72,0.5535,0.0031,0.2738,0.7714,0.0438,0.3289,0.5858,0.7836,0.9737,7752.7836,0.9999
alpha,73,0.2605,8e-4,0.0804,0.2542,0.1089,0.2051,0.2586,0.3127,0.4249,11151.2755,0.9998
alpha,74,0.3232,8e-4,0.091,0.3072,0.166,0.2592,0.3163,0.3787,0.5209,12246.5362,0.9997
alpha,75,0.1268,0.001,0.082,0.0927,0.0258,0.0727,0.1096,0.1602,0.3332,6223.1879,1.0003
alpha,76,0.42,0.0013,0.1401,0.3732,0.1873,0.3189,0.4049,0.5079,0.7318,10808.3046,0.9998
alpha,77,0.3698,0.0035,0.3168,0.024,5e-4,0.0604,0.3119,0.6385,0.9628,8112.0918,0.9999
alpha,78,0.1662,4e-4,0.0469,0.1721,0.0776,0.1322,0.1662,0.1984,0.2592,10975.3544,0.9997
alpha,79,0.5533,8e-4,0.0773,0.5573,0.4057,0.4996,0.5533,0.6048,0.7091,10507.1783,0.9997
alpha,80,0.2517,0.0024,0.1983,0.0325,0.0046,0.1013,0.2132,0.3535,0.7633,7052.4809,0.9998
alpha,81,0.4947,0.0011,0.1134,0.4819,0.2856,0.4163,0.4888,0.5682,0.7329,10574.8619,0.9996
alpha,82,0.9588,3e-4,0.0319,0.9894,0.8786,0.9425,0.965,0.9831,0.9983,10973.8961,0.9998
alpha,83,0.4536,8e-4,0.0903,0.4334,0.2749,0.3935,0.4522,0.5143,0.6324,13039.7751,0.9997
alpha,84,0.6461,7e-4,0.0847,0.6518,0.4835,0.5893,0.646,0.7032,0.8147,13005.7203,0.9996
alpha,85,0.8921,7e-4,0.0825,0.9699,0.6939,0.8453,0.9092,0.9571,0.9956,12603.9563,0.9996
alpha,86,0.2489,0.0036,0.2865,0.0194,0.0023,0.0122,0.1049,0.4444,0.9166,6335.5966,1.0005
alpha,87,0.3556,0.0021,0.1851,0.2844,0.0515,0.2204,0.3371,0.4716,0.769,7731.6842,1.0001
alpha,88,0.5431,9e-4,0.0863,0.572,0.3503,0.4918,0.5494,0.603,0.6923,9376.4464,0.9997
alpha,89,0.7408,7e-4,0.0783,0.7717,0.5775,0.6887,0.7438,0.796,0.8807,12283.538,0.9998
alpha,90,0.6252,7e-4,0.0722,0.6316,0.4861,0.576,0.6248,0.6735,0.7674,11720.1252,1.0004
alpha,91,0.0309,1e-4,0.0129,0.0261,0.0115,0.0215,0.0289,0.0381,0.0618,9429.0131,1
alpha,92,0.674,7e-4,0.0847,0.6779,0.508,0.6149,0.6751,0.7328,0.838,12873.1284,0.9999
alpha,93,0.9312,4e-4,0.0393,0.9437,0.8394,0.9084,0.9365,0.9596,0.9922,8246.0564,1
alpha,94,0.5892,8e-4,0.0857,0.5869,0.4308,0.5304,0.5862,0.6448,0.7655,11939.1594,1.0002
alpha,95,0.5782,7e-4,0.0821,0.5796,0.4147,0.5228,0.5789,0.6357,0.7354,15237.755,0.9996
alpha,96,0.9395,4e-4,0.0397,0.9625,0.8464,0.9174,0.9451,0.969,0.9958,8453.4007,1.0005
alpha,97,0.5443,6e-4,0.0701,0.5388,0.4138,0.4949,0.542,0.5924,0.6865,12901.2483,0.9998
alpha,98,0.3707,8e-4,0.0832,0.3686,0.2223,0.3144,0.3673,0.4231,0.5484,11558.2108,0.9998
alpha,99,0.8079,6e-4,0.0615,0.8142,0.6756,0.7679,0.8122,0.8519,0.9146,11892.8389,0.9997
alpha,100,0.4817,0.001,0.1054,0.4916,0.2631,0.4153,0.4863,0.5533,0.6804,12237.2171,1.0003
alpha,101,0.2735,5e-4,0.0637,0.2624,0.1563,0.2292,0.2711,0.3148,0.4041,14801.562,0.9998
alpha,102,0.2254,8e-4,0.0872,0.2076,0.08,0.1594,0.2177,0.2832,0.4099,12727.4271,0.9998
alpha,103,0.3064,0.0033,0.3072,0.0247,9e-4,0.0298,0.1911,0.5372,0.9529,8878.82,1.0001
alpha,104,0.3779,0.001,0.089,0.3525,0.2272,0.3172,0.3688,0.4291,0.582,8725.6134,1.0002
alpha,105,0.638,6e-4,0.0718,0.6295,0.5008,0.5887,0.6369,0.6876,0.7791,13744.0307,0.9997
alpha,106,0.4894,6e-4,0.0744,0.505,0.3482,0.4369,0.4884,0.5396,0.6382,13542.6074,1.0002
alpha,107,0.457,5e-4,0.0621,0.4513,0.3428,0.4148,0.4538,0.4955,0.5885,15074.3746,0.9997
alpha,108,0.3845,0.0034,0.2005,0.4593,0.0271,0.251,0.4014,0.5189,0.7685,3567.6197,0.9998
alpha,109,0.6748,0.0018,0.1802,0.7278,0.2826,0.5581,0.6923,0.8086,0.9664,10557.4344,1.0001
alpha,110,0.6295,8e-4,0.0851,0.609,0.4603,0.5727,0.6288,0.6873,0.7964,11041.7462,0.9998
alpha,111,0.1365,0.0011,0.1142,0.0492,0.0092,0.0533,0.1045,0.1875,0.4232,10327.4818,0.9997
alpha,112,0.6173,6e-4,0.068,0.6172,0.489,0.5705,0.6157,0.6619,0.7548,14594.1724,0.9998
alpha,113,0.5205,7e-4,0.0779,0.5136,0.3694,0.4669,0.5199,0.5728,0.6761,13336.9414,0.9997
alpha,114,0.8288,0.0012,0.098,0.8622,0.6227,0.7628,0.8364,0.9038,0.9871,6916.7521,1
alpha,115,0.2603,0.001,0.0938,0.2431,0.1074,0.1928,0.2499,0.3155,0.4812,8104.5866,0.9996
alpha,116,0.8997,6e-4,0.0657,0.9489,0.7513,0.8591,0.9081,0.9515,0.9937,11904.0058,0.9996
alpha,117,0.8128,8e-4,0.0795,0.8096,0.6519,0.7593,0.8138,0.8697,0.96,10379.9744,0.9997
alpha,118,0.2957,8e-4,0.0956,0.3089,0.1175,0.2288,0.2942,0.3605,0.4893,13890.5233,0.9997
alpha,119,0.721,9e-4,0.0846,0.7158,0.5563,0.6634,0.7202,0.7775,0.89,8767.0216,1
alpha,120,0.3127,9e-4,0.1115,0.3151,0.1069,0.2337,0.3093,0.3863,0.542,15328.4816,0.9998
alpha,121,0.6012,6e-4,0.0689,0.592,0.4724,0.5545,0.5988,0.6453,0.743,11387.2838,0.9997
alpha,122,0.2344,8e-4,0.1009,0.1775,0.0744,0.1567,0.2234,0.3004,0.4577,16474.6839,0.9997
alpha,123,0.1321,4e-4,0.0481,0.1124,0.0543,0.0965,0.1269,0.1614,0.24,14289.6706,0.9999
alpha,124,0.5168,8e-4,0.086,0.5077,0.3514,0.4596,0.5151,0.5737,0.6888,12033.3636,1
alpha,125,0.3137,6e-4,0.0743,0.2997,0.1796,0.2614,0.3096,0.3615,0.4727,13612.6515,0.9998
alpha,126,0.3021,8e-4,0.0934,0.3029,0.1257,0.2376,0.2997,0.3635,0.4914,13565.3848,1
alpha,127,0.6086,8e-4,0.0813,0.603,0.4517,0.5539,0.6071,0.661,0.7724,11168.0029,0.9999
alpha,128,0.6781,0.002,0.1948,0.7856,0.267,0.5406,0.696,0.8328,0.9799,9848.8921,1.0001
alpha,129,0.9278,5e-4,0.0439,0.9463,0.8263,0.9016,0.9338,0.9602,0.9934,9268.6154,0.9999
alpha,130,0.011,1e-4,0.0066,0.0053,0.0034,0.0061,0.0094,0.0141,0.0276,8801.9849,1.0001
alpha,131,0.5193,0.0024,0.2584,0.4483,0.0483,0.3137,0.5179,0.7304,0.9653,11780.5106,0.9997
alpha,132,0.4861,9e-4,0.0874,0.472,0.324,0.4265,0.4811,0.5411,0.6722,8724.3204,1
alpha,133,0.2316,7e-4,0.0688,0.2074,0.1184,0.182,0.2248,0.2728,0.3883,10353.1621,0.9999
alpha,134,0.7769,0.0012,0.1272,0.8088,0.5114,0.6868,0.7866,0.8764,0.9816,10603.4515,0.9998
alpha,135,0.8743,7e-4,0.0659,0.8688,0.7357,0.8306,0.8771,0.9239,0.9864,9222.7736,0.9999
alpha,136,0.7947,7e-4,0.0719,0.7906,0.6467,0.7458,0.7971,0.8462,0.9253,11806.2878,1.0001
alpha,137,0.8512,0.001,0.0981,0.9175,0.6281,0.7887,0.8644,0.9276,0.992,8771.0206,0.9999
alpha,138,0.2856,6e-4,0.0799,0.283,0.1402,0.2292,0.2818,0.3364,0.4537,15397.3705,0.9997
alpha,139,0.4792,0.001,0.1011,0.4759,0.3012,0.4076,0.4732,0.5422,0.6994,10555.5345,1.0002
alpha,140,0.8171,9e-4,0.083,0.8251,0.6481,0.7604,0.8198,0.8768,0.97,9302.8533,0.9998
alpha,141,0.3844,0.0023,0.2193,0.2488,0.0349,0.2152,0.3525,0.5271,0.8879,9290.8215,0.9997
alpha,142,0.1657,8e-4,0.0861,0.1145,0.0473,0.1019,0.1488,0.2119,0.3805,11250.2514,0.9997
alpha,143,0.7872,6e-4,0.0623,0.8011,0.6505,0.7483,0.7927,0.8309,0.895,10884.1886,0.9996
alpha,144,0.3088,7e-4,0.0778,0.3035,0.1572,0.2563,0.3087,0.3607,0.4616,12074.1939,0.9998
alpha,145,0.4023,7e-4,0.0826,0.3826,0.2555,0.3438,0.398,0.4561,0.5761,12618.3874,0.9996
alpha,146,0.5687,0.0012,0.1366,0.5515,0.3073,0.4733,0.5654,0.6614,0.8437,12651.9375,0.9997
alpha,147,0.451,6e-4,0.0651,0.4366,0.3338,0.4053,0.4465,0.4931,0.5906,13377.1518,0.9997
alpha,148,0.8657,8e-4,0.0887,0.9084,0.6643,0.8099,0.8789,0.9354,0.9926,11463.4617,1
alpha,149,0.4641,6e-4,0.0712,0.4527,0.33,0.4149,0.4613,0.5113,0.6084,12910.5845,0.9996
alpha,150,0.828,5e-4,0.0512,0.8337,0.7181,0.7956,0.8308,0.8637,0.9188,10829.9308,0.9997
alpha,151,0.3764,5e-4,0.0595,0.37,0.2677,0.3357,0.3728,0.4144,0.5034,14113.8768,0.9998
alpha,152,0.4908,6e-4,0.0747,0.4908,0.3507,0.4383,0.4894,0.5425,0.6402,14709.6281,0.9999
alpha,153,0.1064,4e-4,0.049,0.0769,0.035,0.0691,0.0988,0.1359,0.2188,13858.3466,0.9998
alpha,154,0.1482,8e-4,0.08,0.1104,0.0459,0.0912,0.1305,0.1847,0.3535,10561.2283,0.9998
alpha,155,0.5695,6e-4,0.0675,0.5663,0.4368,0.5235,0.5686,0.6145,0.705,15049.3297,1.0001
alpha,156,0.3425,9e-4,0.1019,0.3388,0.1517,0.269,0.3405,0.4116,0.5465,13684.5076,0.9997
alpha,157,0.6939,9e-4,0.0908,0.6955,0.5165,0.6327,0.6939,0.7548,0.8725,11379.8493,0.9998
alpha,158,0.5786,0.0023,0.2187,0.5997,0.1336,0.4249,0.5864,0.7447,0.961,9285.4484,0.9997
alpha,159,0.2303,9e-4,0.0909,0.2209,0.0776,0.163,0.2241,0.288,0.4239,9383.2193,1
alpha,160,0.1167,7e-4,0.0683,0.0741,0.0227,0.066,0.1035,0.1541,0.2822,9918.6198,0.9997
alpha,161,0.9563,3e-4,0.0344,0.9884,0.8719,0.9385,0.9639,0.9826,0.9981,10483.3426,0.9999
alpha,162,0.7264,9e-4,0.0901,0.7176,0.5529,0.6649,0.7255,0.7861,0.9091,9326.4292,0.9998
alpha,163,0.7064,0.001,0.0982,0.7003,0.5194,0.6401,0.7046,0.7714,0.9047,8985.9124,1.0003
alpha,164,0.7301,0.0018,0.1872,0.8357,0.2943,0.6112,0.7619,0.8779,0.9879,10826.5244,1.0002
alpha,165,0.8454,8e-4,0.0728,0.8442,0.6953,0.7968,0.8473,0.8979,0.9772,8337.5216,1.0002
alpha,166,0.4251,6e-4,0.0717,0.4203,0.293,0.3764,0.4218,0.4716,0.5756,12332.1853,0.9997
alpha,167,0.494,6e-4,0.0727,0.4962,0.3541,0.4461,0.4932,0.5425,0.6381,14324.7797,0.9996
alpha,168,0.2283,9e-4,0.1007,0.1722,0.072,0.1498,0.2169,0.296,0.4475,13575.6896,0.9997
alpha,169,0.5048,6e-4,0.0633,0.4998,0.388,0.4612,0.503,0.5457,0.6347,13112.798,0.9998
alpha,170,0.1638,6e-4,0.0547,0.1674,0.0572,0.1255,0.1652,0.2024,0.2682,7731.0919,1.0007
alpha,171,0.1246,8e-4,0.0793,0.0583,0.0237,0.0638,0.1076,0.1677,0.3175,9456.8959,0.9999
alpha,172,0.1757,2e-4,0.0273,0.1691,0.1274,0.1565,0.1737,0.1929,0.2357,15102.9365,0.9999
alpha,173,0.2233,6e-4,0.0641,0.2054,0.1173,0.1777,0.2165,0.2616,0.3637,13154.3363,0.9996
alpha,174,0.3807,6e-4,0.0727,0.382,0.2471,0.3313,0.3779,0.427,0.5325,12565.8701,0.9996
alpha,175,0.4213,5e-4,0.0643,0.4229,0.3027,0.3775,0.4187,0.4621,0.5561,15000.7324,0.9997
alpha,176,0.5304,0.0022,0.2365,0.5582,0.1172,0.3428,0.5272,0.7146,0.9612,11439.2668,0.9999
alpha,177,0.7193,8e-4,0.0955,0.7644,0.5117,0.6561,0.7305,0.7897,0.8782,14670.262,0.9997
alpha,178,0.3211,0.0029,0.2842,0.0324,7e-4,0.0691,0.2486,0.5235,0.9394,9824.2796,0.9999
alpha,179,0.8534,7e-4,0.0625,0.873,0.7088,0.8178,0.8615,0.898,0.9527,8666.5066,1.0004
alpha,180,0.9059,7e-4,0.0681,0.9717,0.7436,0.8638,0.9183,0.9602,0.9965,10660.3245,0.9997
alpha,181,0.2863,0.0032,0.3034,0.0259,0.0016,0.0227,0.1553,0.5096,0.947,8787.2213,0.9998
alpha,182,0.7144,6e-4,0.0758,0.727,0.5641,0.6631,0.7156,0.7668,0.8607,13963.1496,0.9997
alpha,183,0.4763,7e-4,0.0833,0.4627,0.3224,0.4187,0.4718,0.5303,0.6488,14520.0531,0.9998
alpha,184,0.4597,5e-4,0.0575,0.445,0.3568,0.4201,0.4565,0.4957,0.5813,14458.5867,0.9998
alpha,185,0.6127,8e-4,0.0925,0.6413,0.4243,0.5498,0.6166,0.6786,0.78,12060.2564,0.9998
alpha,186,0.4513,9e-4,0.0947,0.4437,0.2687,0.386,0.4517,0.5165,0.6343,12310.3269,0.9999
alpha,187,0.3739,9e-4,0.0948,0.3485,0.2046,0.3068,0.37,0.4346,0.5713,11681.976,0.9998
alpha,188,0.3398,0.0025,0.2364,0.1693,0.0105,0.1497,0.2964,0.4967,0.8753,8792.5263,0.9998
alpha,189,0.544,6e-4,0.0692,0.5405,0.414,0.4966,0.5416,0.5904,0.6858,13893.024,0.9999
alpha,190,0.827,8e-4,0.0769,0.8348,0.6706,0.7755,0.8291,0.8828,0.968,9173.7293,1
alpha,191,0.0358,3e-4,0.0263,0.0198,0.0052,0.018,0.0298,0.0465,0.1027,9606.177,1.0001
alpha,192,0.1055,3e-4,0.0318,0.0975,0.0471,0.0826,0.1044,0.1272,0.1704,11691.1291,0.9999
alpha,193,0.2323,0.0021,0.1656,0.1285,0.0258,0.1158,0.1886,0.3053,0.6804,6396.2618,1.0003
alpha,194,0.2423,8e-4,0.1049,0.2056,0.0748,0.1613,0.231,0.3114,0.4705,16319.1063,0.9996
alpha,195,0.6269,0.0013,0.1123,0.6167,0.4168,0.5505,0.6231,0.6992,0.8573,6955.5097,0.9999
alpha,196,0.2171,8e-4,0.0891,0.1777,0.0727,0.1518,0.2074,0.2722,0.4179,13816.8077,0.9998
alpha,197,0.5434,0.0022,0.2554,0.4639,0.0786,0.3377,0.5466,0.7522,0.9721,13162.1132,1.0001
alpha,198,0.5161,7e-4,0.0773,0.5017,0.3767,0.4614,0.5117,0.5683,0.6752,12351.9268,0.9996
alpha,199,0.4474,0.0025,0.2409,0.4322,0.0231,0.2657,0.434,0.6134,0.9355,9150.5019,0.9997
alpha,200,0.4381,0.0012,0.1176,0.4711,0.1957,0.3608,0.4431,0.5202,0.6551,9475.8891,0.9999
